ident,latitude_deg,longitude_deg,term
MRZP,9.994,-85.3102,z
MRNS,9.9765,-85.653,z
MRDM,9.9279,-84.99,z
SVNA,9.923,-72.0805,z
MRSM,9.9167,-84.6167,z
SVHD,9.9,-72.55,z
SVPS,9.89,-70.1217,z
DN50,9.8847,6.8186,z
DFCE,9.883,-2.917,z
SVAO,9.8633,-66.2933,z
MRPP,9.8583,-84.6944,z
MRAR,9.85,-83.65,z
SVQQ,9.85,-65.3167,z
SVRX,9.8435,-72.5472,z
SVSK,9.7783,-68.175,z
DXNG,9.7673,1.0912,z
RPMS,9.7558,125.4809,z
SVHL,9.7167,-66.7833,z
SVEG,9.7,-68.3333,z
SVCM,9.6833,-68.4167,z
SVLJ,9.6833,-64.1833,z
SVQK,9.6783,-66.1633,z
SVBE,9.6667,-72.5833,z
SVJO,9.6667,-67.05,z
DNMN,9.6522,6.4623,z
SVDG,9.65,-63.7217,z
SVLG,9.65,-68.9833,z
DNJO,9.6398,8.8691,z
GFKB,9.6383,-11.5156,z
SVGP,9.6333,-67.1833,z
HADR,9.6247,41.8542,z
SVGG,9.5833,-63.05,z
SV74,9.5819,-72.788,z
MRSH,9.5808,-82.9599,z
SVHE,9.5667,-67.5667,z
MRDD,9.55,-82.8833,z
MRLY,9.55,-84.5667,z
MP02,9.5433,-82.7338,z
MRET,9.5333,-84.4667,z
MRLI,9.5153,-84.3015,z
SVTT,9.5113,-66.5539,z
SVLM,9.4979,-62.9013,z
SVFK,9.4833,-67.8167,z
SVDV,9.45,-63.175,z
SVEJ,9.45,-70.8,z
SVUK,9.45,-68.3667,z
MP17,9.4344,-82.4991,z
SVCK,9.4167,-68.8833,z
SVFS,9.4016,-66.6431,z
SVHK,9.4,-67.7833,z
SVRN,9.3833,-63.2667,z
SVHT,9.3667,-63.0833,z
SVVH,9.3667,-62.9167,z
MPFS,9.3651,-79.9498,z
MRPL,9.358,-83.9795,z
SVQI,9.35,-65.8,z
SVDB,9.3333,-68.4333,z
